# description: Frequency map for 27Mhz UK legal CB channels
# author: STEIN-TIME (30/12/25)

# Single frequency allocations

f=27601250,d=UK CH 01
f=27611250,d=UK CH 02
f=27621250,d=UK CH 03
f=27631250,d=UK CH 04
f=27641250,d=UK CH 05
f=27651250,d=UK CH 06
f=27661250,d=UK CH 07
f=27671250,d=UK CH 08
f=27681250,d=UK CH 09
f=27691250,d=UK CH 10
f=27701250,d=UK CH 11
f=27711250,d=UK CH 12
f=27721250,d=UK CH 13
f=27731250,d=UK CH 14
f=27741250,d=UK CH 15
f=27751250,d=UK CH 16
f=27761250,d=UK CH 17
f=27771250,d=UK CH 18
f=27781250,d=UK CH 19
f=27791250,d=UK CH 20
f=27801250,d=UK CH 21
f=27811250,d=UK CH 22
f=27821250,d=UK CH 23
f=27831250,d=UK CH 24
f=27841250,d=UK CH 25
f=27851250,d=UK CH 26
f=27861250,d=UK CH 27
f=27871250,d=UK CH 28
f=27881250,d=UK CH 29
f=27891250,d=UK CH 30
f=27901250,d=UK CH 31
f=27911250,d=UK CH 32
f=27921250,d=UK CH 33
f=27931250,d=UK CH 34
f=27941250,d=UK CH 35
f=27951250,d=UK CH 36
f=27961250,d=UK CH 37
f=27971250,d=UK CH 38
f=27981250,d=UK CH 39
f=27991250,d=UK CH 40
